Enter the number of max entries to sort: 100000
The maximum sample data size is 100000

	insertionSort(): already sorted - best case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	       21652	    0.000046
       600	       27316	    0.000037
       700	       29315	    0.000034
       800	       26687	    0.000037
       900	       29651	    0.000034
      1000	       29349	    0.000034
      2000	       26702	    0.000037
      3000	       24442	    0.000041
      4000	       22706	    0.000044
      5000	       20167	    0.000050
      6000	       19375	    0.000052
      7000	       17832	    0.000056
      8000	       16917	    0.000059
      9000	       16056	    0.000062
     10000	       15304	    0.000065
     20000	        9483	    0.000105
     30000	        7279	    0.000137
     40000	        5796	    0.000173
     50000	        4828	    0.000207
     60000	        4091	    0.000244
     70000	        3481	    0.000287
     80000	        2794	    0.000358
     90000	        2921	    0.000342
    100000	        2638	    0.000379

	insertionSort(): randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	        5429	    0.000184
       600	        3952	    0.000253
       700	        2700	    0.000370
       800	        2304	    0.000434
       900	        1865	    0.000536
      1000	        1526	    0.000655
      2000	         387	    0.002584
      3000	         178	    0.005624
      4000	          94	    0.010660
      5000	          67	    0.015134
      6000	          47	    0.021617
      7000	          35	    0.029057
      8000	          27	    0.038259
      9000	          20	    0.051300
     10000	          17	    0.059471
     20000	           5	    0.230800
     30000	           2	    0.511500
     40000	           2	    0.909000
     50000	           1	    1.416000
     60000	           1	    2.016000
     70000	           1	    2.746000
     80000	           1	    3.590000
     90000	           1	    4.629000
    100000	           1	    5.680000
x
	insertionSort(): sorted reversed - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        2981	    0.000335
       600	        2161	    0.000463
       700	        1632	    0.000613
       800	        1244	    0.000804
       900	         998	    0.001002
      1000	         792	    0.001263
      2000	         210	    0.004781
      3000	          92	    0.010957
      4000	          52	    0.019519
      5000	          34	    0.030000
      6000	          24	    0.042458
      7000	          18	    0.058389
      8000	          14	    0.076714
      9000	          11	    0.096636
     10000	           9	    0.118556
     20000	           3	    0.470333
     30000	           1	    1.075000
     40000	           1	    1.885000
     50000	           1	    2.969000
     60000	           1	    4.236000
     70000	           1	    5.881000
     80000	           1	    7.654000
     90000	           1	    9.662000
    100000	           1	   11.833000

	quickSort()	: randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	       14478	    0.000069
       600	       11165	    0.000090
       700	       10165	    0.000098
       800	        8160	    0.000123
       900	        7384	    0.000135
      1000	        7233	    0.000138
      2000	        3782	    0.000264
      3000	        2541	    0.000394
      4000	        1846	    0.000542
      5000	        1382	    0.000724
      6000	        1081	    0.000925
      7000	         841	    0.001189
      8000	         885	    0.001131
      9000	         764	    0.001309
     10000	         693	    0.001443
     20000	         319	    0.003141
     30000	         214	    0.004673
     40000	         150	    0.006667
     50000	         120	    0.008342
     60000	          95	    0.010537
     70000	          73	    0.013781
     80000	          74	    0.013541
     90000	          64	    0.015719
    100000	          56	    0.017857

	quickSort(): already sorted - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        1038	    0.000963
       600	         733	    0.001364
       700	         546	    0.001833
       800	         416	    0.002404
       900	         328	    0.003055
      1000	         271	    0.003694
      2000	          68	    0.014824
      3000	          31	    0.033097
      4000	          18	    0.058500
      5000	          11	    0.091091
      6000	           8	    0.134625
      7000	           6	    0.180833
      8000	           4	    0.256000
      9000	           3	    0.383667
     10000	           3	    0.476667
     20000	           1	    2.039000
     30000	           1	    4.423000
     40000	           1	    6.926000
     50000	           1	   11.100000
     60000	           1	   16.598000
     70000	           1	   19.819000
     80000	           1	   25.317000
     90000	           1	   33.767000
    100000	           1	   41.488000
