Enter the number of max entries to sort: 10000
The maximum sample data size is 10000

	insertionSort(): already sorted - best case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	      131691	    0.000008
       600	      162799	    0.000006
       700	      125010	    0.000008
       800	      132205	    0.000008
       900	      176127	    0.000006
      1000	      190123	    0.000005
      2000	      104854	    0.000010
      3000	       71691	    0.000014
      4000	       50457	    0.000020
      5000	       34374	    0.000029
      6000	       40957	    0.000024
      7000	       37002	    0.000027
      8000	       28625	    0.000035
      9000	       27446	    0.000036
     10000	       20076	    0.000050

	insertionSort(): randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	        6022	    0.000166
       600	        3901	    0.000256
       700	        3034	    0.000330
       800	        2054	    0.000487
       900	        1304	    0.000767
      1000	         899	    0.001113
      2000	         164	    0.006116
      3000	          77	    0.013078
      4000	          50	    0.020120
      5000	          28	    0.037214
      6000	          20	    0.051650
      7000	          16	    0.065812
      8000	          22	    0.045727
      9000	          20	    0.051450
     10000	          17	    0.059294

	insertionSort(): sorted reversed - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        3250	    0.000308
       600	        2162	    0.000463
       700	        1374	    0.000728
       800	        1114	    0.000898
       900	         930	    0.001076
      1000	         808	    0.001238
      2000	         196	    0.005122
      3000	          84	    0.012012
      4000	          52	    0.019327
      5000	          33	    0.030879
      6000	          22	    0.047000
      7000	          17	    0.059882
      8000	          14	    0.077357
      9000	          10	    0.100300
     10000	           8	    0.125625

	quickSort()	: randomized - average case.
	Randomized Data will be used during sorting.
         n	 repetitions	   sort(sec)
       500	       19187	    0.000052
       600	       15974	    0.000063
       700	       15721	    0.000064
       800	       12247	    0.000082
       900	        9156	    0.000109
      1000	        8990	    0.000111
      2000	        4228	    0.000237
      3000	        2759	    0.000362
      4000	        1937	    0.000516
      5000	        1539	    0.000650
      6000	        1120	    0.000893
      7000	         994	    0.001006
      8000	         857	    0.001168
      9000	         766	    0.001305
     10000	         648	    0.001545

	quickSort(): already sorted - worst case.
	Data will NOT be randomized before use.
         n	 repetitions	   sort(sec)
       500	        1074	    0.000931
       600	         722	    0.001386
       700	         524	    0.001908
       800	         352	    0.002844
       900	         277	    0.003617
      1000	         224	    0.004478
      2000	          61	    0.016443
      3000	          27	    0.038333
      4000	          16	    0.063187
      5000	          10	    0.101400
      6000	           7	    0.168143
      7000	           5	    0.209600
      8000	           5	    0.265400
      9000	           3	    0.342000
     10000	           3	    0.470000
